datetimestamp_utc,wedges_fraction_obstructed_0,wedges_fraction_obstructed_1,wedges_fraction_obstructed_2,wedges_fraction_obstructed_3,wedges_fraction_obstructed_4,wedges_fraction_obstructed_5,wedges_fraction_obstructed_6,wedges_fraction_obstructed_7,wedges_fraction_obstructed_8,wedges_fraction_obstructed_9,wedges_fraction_obstructed_10,wedges_fraction_obstructed_11,raw_wedges_fraction_obstructed_0,raw_wedges_fraction_obstructed_1,raw_wedges_fraction_obstructed_2,raw_wedges_fraction_obstructed_3,raw_wedges_fraction_obstructed_4,raw_wedges_fraction_obstructed_5,raw_wedges_fraction_obstructed_6,raw_wedges_fraction_obstructed_7,raw_wedges_fraction_obstructed_8,raw_wedges_fraction_obstructed_9,raw_wedges_fraction_obstructed_10,raw_wedges_fraction_obstructed_11,valid_s
2024-10-04T00:12:48,,,,,,,,,,,,,,,,,,,,,,,,,56965.0
2024-10-04T00:13:48,,,,,,,,,,,,,,,,,,,,,,,,,57025.0
2024-10-04T00:14:48,,,,,,,,,,,,,,,,,,,,,,,,,57085.0
datetimestamp_utc,wedges_fraction_obstructed_0,wedges_fraction_obstructed_1,wedges_fraction_obstructed_2,wedges_fraction_obstructed_3,wedges_fraction_obstructed_4,wedges_fraction_obstructed_5,wedges_fraction_obstructed_6,wedges_fraction_obstructed_7,wedges_fraction_obstructed_8,wedges_fraction_obstructed_9,wedges_fraction_obstructed_10,wedges_fraction_obstructed_11,raw_wedges_fraction_obstructed_0,raw_wedges_fraction_obstructed_1,raw_wedges_fraction_obstructed_2,raw_wedges_fraction_obstructed_3,raw_wedges_fraction_obstructed_4,raw_wedges_fraction_obstructed_5,raw_wedges_fraction_obstructed_6,raw_wedges_fraction_obstructed_7,raw_wedges_fraction_obstructed_8,raw_wedges_fraction_obstructed_9,raw_wedges_fraction_obstructed_10,raw_wedges_fraction_obstructed_11,valid_s
2024-10-04T02:22:23,,,,,,,,,,,,,,,,,,,,,,,,,64739.0
2024-10-04T02:23:23,,,,,,,,,,,,,,,,,,,,,,,,,64799.0
2024-10-04T02:24:23,,,,,,,,,,,,,,,,,,,,,,,,,64859.0
2024-10-04T02:25:23,,,,,,,,,,,,,,,,,,,,,,,,,64919.0
2024-10-04T02:26:23,,,,,,,,,,,,,,,,,,,,,,,,,64979.0
2024-10-04T02:27:23,,,,,,,,,,,,,,,,,,,,,,,,,65039.0
