datetimestamp_utc,samples,end_counter,mean_all_ping_latency,deciles_all_ping_latency_0,deciles_all_ping_latency_1,deciles_all_ping_latency_2,deciles_all_ping_latency_3,deciles_all_ping_latency_4,deciles_all_ping_latency_5,deciles_all_ping_latency_6,deciles_all_ping_latency_7,deciles_all_ping_latency_8,deciles_all_ping_latency_9,deciles_all_ping_latency_10,mean_full_ping_latency,deciles_full_ping_latency_0,deciles_full_ping_latency_1,deciles_full_ping_latency_2,deciles_full_ping_latency_3,deciles_full_ping_latency_4,deciles_full_ping_latency_5,deciles_full_ping_latency_6,deciles_full_ping_latency_7,deciles_full_ping_latency_8,deciles_full_ping_latency_9,deciles_full_ping_latency_10,stdev_full_ping_latency
2024-10-04T00:12:50,60,57135,32.093840276099236,23.489810943603516,26.417625427246094,27.769376754760742,28.304250717163086,28.766372680664062,29.434398651123047,30.437402725219727,33.726863861083984,35.02393341064453,40.51713562011719,55.469932556152344,32.09172860507307,23.489810943603516,26.417625427246094,27.769376754760742,28.304250717163086,28.766372680664062,29.429874420166016,30.420440673828125,33.726863861083984,35.02393341064453,40.51713562011719,55.469932556152344,6.9062133214866135
2024-10-04T00:13:50,60,57195,30.39897912343343,22.133134841918945,24.074705123901367,25.938499450683594,26.687376022338867,27.592437744140625,29.545799255371094,30.42706871032715,31.2366886138916,32.76675033569336,40.110565185546875,47.27125930786133,30.39897912343343,22.133134841918945,24.074705123901367,25.938499450683594,26.687376022338867,27.592437744140625,29.545799255371094,30.42706871032715,31.2366886138916,32.76675033569336,40.110565185546875,47.27125930786133,5.832510495110823
2024-10-04T00:14:50,60,57255,26.054226938883463,20.73070526123047,21.65358543395996,23.211437225341797,23.867687225341797,24.640623092651367,26.119813919067383,27.226686477661133,28.159440994262695,28.849687576293945,29.602399826049805,32.885868072509766,26.054226938883463,20.73070526123047,21.65358543395996,23.211437225341797,23.867687225341797,24.640623092651367,26.119813919067383,27.226686477661133,28.159440994262695,28.849687576293945,29.602399826049805,32.885868072509766,3.031670278852894
datetimestamp_utc,samples,end_counter,mean_all_ping_latency,deciles_all_ping_latency_0,deciles_all_ping_latency_1,deciles_all_ping_latency_2,deciles_all_ping_latency_3,deciles_all_ping_latency_4,deciles_all_ping_latency_5,deciles_all_ping_latency_6,deciles_all_ping_latency_7,deciles_all_ping_latency_8,deciles_all_ping_latency_9,deciles_all_ping_latency_10,mean_full_ping_latency,deciles_full_ping_latency_0,deciles_full_ping_latency_1,deciles_full_ping_latency_2,deciles_full_ping_latency_3,deciles_full_ping_latency_4,deciles_full_ping_latency_5,deciles_full_ping_latency_6,deciles_full_ping_latency_7,deciles_full_ping_latency_8,deciles_full_ping_latency_9,deciles_full_ping_latency_10,stdev_full_ping_latency
2024-10-04T02:22:24,60,64909,25.652609157562257,22.103687286376953,22.988821029663086,23.96668815612793,24.681564331054688,25.206748962402344,25.675626754760742,25.97018814086914,26.39762306213379,26.90306282043457,27.810335159301758,29.46244239807129,25.652609157562257,22.103687286376953,22.988821029663086,23.96668815612793,24.681564331054688,25.206748962402344,25.675626754760742,25.97018814086914,26.39762306213379,26.90306282043457,27.810335159301758,29.46244239807129,1.7421734303504135
2024-10-04T02:23:24,60,64969,29.767599117703668,24.641185760498047,25.351186752319336,26.301563262939453,26.951812744140625,27.758188247680664,28.51599884033203,29.905628204345703,31.13020133972168,33.43159866333008,35.61540222167969,38.77693176269531,29.461824450576515,24.641185760498047,25.351186752319336,26.301563262939453,26.951812744140625,27.62493896484375,28.411123275756836,29.460124969482422,30.310251235961914,33.41292953491211,35.61540222167969,38.77693176269531,3.6710267521221835
2024-10-04T02:24:24,60,65029,30.8646443538986,24.743249893188477,25.83162498474121,26.685123443603516,27.80040168762207,29.541248321533203,29.951248168945312,31.357311248779297,33.70053482055664,35.38692855834961,36.16353225708008,40.90764236450195,30.677818090265447,24.743249893188477,25.83162498474121,26.64468765258789,27.80040168762207,29.132064819335938,29.951248168945312,30.816572189331055,32.64573287963867,35.003273010253906,36.16353225708008,40.90764236450195,3.975296665597435
2024-10-04T02:25:24,60,65089,24.241136965024943,18.883352279663086,20.917810440063477,21.662765502929688,22.517810821533203,23.687435150146484,24.041187286376953,24.923627853393555,25.945499420166016,26.811124801635742,27.321866989135742,29.889867782592773,24.111144394710145,18.883352279663086,20.917810440063477,21.662765502929688,22.517810821533203,23.687435150146484,23.893686294555664,24.847293853759766,25.58887481689453,26.425308227539062,27.321866989135742,29.889867782592773,2.5940652028143005
2024-10-04T02:26:24,60,65149,23.03115930557251,19.523469924926758,20.571062088012695,21.020999908447266,21.649471282958984,22.114530563354492,22.631813049316406,23.212764739990234,23.413938522338867,24.45811653137207,26.14025115966797,28.966562271118164,23.03115930557251,19.523469924926758,20.571062088012695,21.020999908447266,21.649471282958984,22.114530563354492,22.631813049316406,23.212764739990234,23.413938522338867,24.45811653137207,26.14025115966797,28.966562271118164,2.15809584130562
2024-10-04T02:27:24,60,65209,25.387637218005473,21.085647583007812,22.67300033569336,23.900249481201172,24.399686813354492,24.908527374267578,25.389760971069336,25.74793815612793,26.469749450683594,27.173749923706055,28.166187286376953,30.005374908447266,25.42112919379925,21.085647583007812,22.67300033569336,23.900249481201172,24.399686813354492,24.919315338134766,25.389760971069336,25.74793815612793,26.469749450683594,27.173749923706055,28.166187286376953,30.005374908447266,1.9720540786338112
