datetimestamp_utc,samples,end_counter,latest_power,mean_power,min_power,max_power,total_energy
2024-10-04T00:12:50,60,57136,32.4588737487793,33.23731184005737,28.30422019958496,38.17719268798828,0.0005539551973342895
2024-10-04T00:13:50,60,57196,31.818660736083984,36.044871457417806,28.31833839416504,41.634586334228516,0.0006007478576236301
2024-10-04T00:14:50,60,57256,33.52354431152344,33.53987538019816,29.794239044189453,36.86973571777344,0.0005589979230033027
datetimestamp_utc,samples,end_counter,latest_power,mean_power,min_power,max_power,total_energy
2024-10-04T02:22:24,60,64910,33.382144927978516,36.25380643208822,32.893558502197266,40.054908752441406,0.0006042301072014703
2024-10-04T02:23:24,60,64970,32.63616943359375,37.59348080952962,32.63616943359375,41.115203857421875,0.0006265580134921603
2024-10-04T02:24:24,60,65030,38.69385528564453,35.38398361206055,30.925586700439453,41.07632827758789,0.0005897330602010092
2024-10-04T02:25:24,60,65090,37.68339920043945,38.1517084757487,33.3553466796875,44.5911979675293,0.000635861807929145
2024-10-04T02:26:24,60,65150,38.84113693237305,40.64003505706787,36.10723876953125,46.8446044921875,0.0006773339176177978
2024-10-04T02:27:24,60,65210,38.84141540527344,35.71741739908854,31.78848648071289,41.88412857055664,0.000595290289984809
